FID,Nr ewid,Nazwa,Centrala,Stanowisko,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Adres,Kod pocztowy,Długość geo.,Szerokość geo.,x,y
444,1120001,JRG Sztum,477418920,477418920,JRG,POMORSKIE,sztumski,Sztum,Sztum,Sienkiewicza 27,82-400,19.0279833333,53.9279138889,19.0279833333,53.9279138889
445,214002,JRG Szubin, ,477513701,JRG,KUJAWSKO-POMORSKIE,nakielski,Szubin,Szubin,Sportowa 7,89-200,17.7225,52.9983333333,17.7225,52.9983333333
446,736001,JRG Szydłowiec,486178189,486171172,JRG,MAZOWIECKIE,szydłowiecki,Szydłowiec,Szydłowiec,Strażacka 3,26-500,20.8613888889,51.2244444444,20.8613888889,51.2244444444
447,1529001,JRG Śrem, ,477719315,JRG,WIELKOPOLSKIE,śremski,Śrem,Śrem,Grunwaldzka 23,63-100,17.0197888889,52.0782333333,17.0197888889,52.0782333333
448,122001,JRG Środa Śląska,713172212,713176982,JRG,DOLNOŚLĄSKIE,średzki,Środa Śląska,Środa Śląska,Kolejowa 45,55-300,16.5879666667,51.1763361111,16.5879666667,51.1763361111
449,1530001,JRG Środa Wielkopolska, , ,JRG,WIELKOPOLSKIE,średzki,Środa Wielkopolska,Środa Wielkopolska,Libelta 2 a,63-000,17.2847222222,52.2191666667,17.2847222222,52.2191666667
450,123001,JRG Świdnica,748518887, ,JRG,DOLNOŚLĄSKIE,świdnicki,Świdnica (gmina miejska),Świdnica,al. Niepodległości 8-10,58-100,16.4857444444,50.8402111111,16.4857444444,50.8402111111
451,320001,JRG Świdnik,817455580,817455580,JRG,LUBELSKIE,świdnicki,Świdnik,Świdnik,Al. Lotników Polskich 2,21-045,22.7014722222,51.2263472222,22.7014722222,51.2263472222
452,1618001,JRG Świdwin,943652481,943652481,JRG,ZACHODNIOPOMORSKIE,świdwiński,Świdwin (gmina miejska),Świdwin,Armii Krajowej 23,78-300,15.7804083333,53.7851166667,15.7804083333,53.7851166667
453,123002,JRG Świebodzice,748540030,748540030,JRG,DOLNOŚLĄSKIE,świdnicki,Świebodzice,Świebodzice,Wiejska 22C,58-160,16.312,50.8593138889,16.312,50.8593138889
454,409001,JRG Świebodzin,683822408,683822408,JRG,LUBUSKIE,świebodziński,Świebodzin,Świebodzin,Cegielniana 13,66-209,15.5297222222,52.2444444444,15.5297222222,52.2444444444
455,218001,JRG Świecie, ,477514101,JRG,KUJAWSKO-POMORSKIE,świecki,Świecie,Świecie,Mieczysława Petelskiego 1,86-100,18.4658694444,53.4126388889,18.4658694444,53.4126388889
456,1228001,JRG Świętochłowice,478517562,478517560,JRG,ŚLĄSKIE,Świętochłowice,Świętochłowice,Świętochłowice,Harcerska 16,41-600,18.9149055556,50.2958555556,18.9149055556,50.2958555556
457,922001,JRG Tarnobrzeg,158233568 wew.: 500,158233568 wew.: 500,JRG,PODKARPACKIE,Tarnobrzeg,Tarnobrzeg,Tarnobrzeg,Targowa 3,39-400,21.6734916667,50.5710777778,21.6734916667,50.5710777778
458,1229001,JRG Tarnowskie Góry,478518600, ,JRG,ŚLĄSKIE,tarnogórski,Tarnowskie Góry,Tarnowskie Góry,Górnicza 36,42-600,18.8549,50.4405,18.8549,50.4405
459,1118001,JRG Tczew,585304060,585304060,JRG,POMORSKIE,tczewski,Tczew (gmina miejska),Tczew,Lecha 11,83-110,18.791925,54.0873694444,18.791925,54.0873694444
460,321001,JRG Tomaszów Lubelski,846618000,846618020,JRG,LUBELSKIE,tomaszowski,Tomaszów Lubelski (gmina miejska),Tomaszów Lubelski,dr. Janusza Petera 7,22-600,23.4226777778,50.4440416667,23.4226777778,50.4440416667
461,519001,JRG Tomaszów Mazowiecki,447259126,447259106,JRG,ŁÓDZKIE,tomaszowski,Tomaszów Mazowiecki (gmina miejska),Tomaszów Mazowiecki,Warszawska 105,97-200,20.0148638889,51.5489138889,20.0148638889,51.5489138889
462,1504002,JRG Trzcianka, ,477717133,JRG,WIELKOPOLSKIE,czarnkowsko-trzcianecki,Trzcianka,Trzcianka,Broniewskiego 13,64-980,16.4555416667,53.0382361111,16.4555416667,53.0382361111
463,124001,JRG Trzebnica,713120788,713120851,JRG,DOLNOŚLĄSKIE,trzebnicki,Trzebnica,Trzebnica,B. Głowackiego 12,55-100,17.0582388889,51.3088388889,17.0582388889,51.3088388889
464,219001,JRG Tuchola, ,477514200,JRG,KUJAWSKO-POMORSKIE,tucholski,Tuchola,Tuchola,Sępoleńska 20,89-500,17.8566777778,53.5872916667,17.8566777778,53.5872916667
465,1531001,JRG Turek, ,477719515,JRG,WIELKOPOLSKIE,turecki,Turek (gmina miejska),Turek,Św. Floriana 2,62-700,18.4816,52.0161472222,18.4816,52.0161472222
466,1230001,JRG Tychy,322273023,323232450,JRG,ŚLĄSKIE,Tychy,Tychy,Tychy,aleja Niepodległości 230,43-100,19.0067805556,50.1095277778,19.0067805556,50.1095277778
467,1207003,JRG Ustroń,478517171,478517191,JRG,ŚLĄSKIE,cieszyński,Ustroń,Ustroń,Wczasowa 12,43-450,18.8359333333,49.6963388889,18.8359333333,49.6963388889
468,924002,JRG Ustrzyki Dolne,134608798,134611048,JRG,PODKARPACKIE,bieszczadzki,Ustrzyki Dolne,Ustrzyki Dolne,1 Maja 22,38-700,22.5863694444,49.4297361111,22.5863694444,49.4297361111
469,620002,JRG Wadowice, ,478317615,JRG,MAŁOPOLSKIE,wadowicki,Wadowice,Wadowice,Wojska Polskiego 2c,34-100,19.4926333333,49.8875555556,19.4926333333,49.8875555556
470,1620001,JRG Wałcz, ,672589471,JRG,ZACHODNIOPOMORSKIE,wałecki,Wałcz (gmina miejska),Wałcz,Genrała Władysława Andersa 20,78-600,16.4607055556,53.2631638889,16.4607055556,53.2631638889
471,220001,JRG Wąbrzeźno, ,477514301,JRG,KUJAWSKO-POMORSKIE,wąbrzeski,Wąbrzeźno,Wąbrzeźno,św. Floriana 6,87-200,18.971525,53.2720305556,18.971525,53.2720305556
472,1532001,JRG Wągrowiec, ,477719610 wew.: 9610,JRG,WIELKOPOLSKIE,wągrowiecki,Wągrowiec (gmina miejska),Wągrowiec,Przemysłowa 44,62-100,17.2119444444,52.8114333333,17.2119444444,52.8114333333
473,1119002,JRG Wejherowo,586776017,586776015,JRG,POMORSKIE,wejherowski,Wejherowo (gmina miejska),Wejherowo,Tartaczna 5,84-200,18.1999583333,54.6113805556,18.1999583333,54.6113805556
474,1421001,JRG Węgorzewo, ,874277520,JRG,WARMIŃSKO-MAZURSKIE,węgorzewski,Węgorzewo,Węgorzewo,Sienkiewicza 10,11-600,21.7457833333,54.2127416667,21.7457833333,54.2127416667
475,737001,JRG Węgrów,253081124,257925310,JRG,MAZOWIECKIE,węgrowski,Węgrów,Węgrów,Zwycięstwa 83,07-100,22.0316611111,52.3956444444,22.0316611111,52.3956444444
476,621001,JRG Wieliczka, ,478317716,JRG,MAŁOPOLSKIE,wielicki,Wieliczka,Wieliczka,Park Kingi 4,32-020,20.051775,49.9816666667,20.051775,49.9816666667
477,520001,JRG Wieluń,438434423,438411039,JRG,ŁÓDZKIE,wieluński,Wieluń,Wieluń,Wodna 1,98-300,18.5694194444,51.2234694444,18.5694194444,51.2234694444
478,521001,JRG Wieruszów,627841688,627841688,JRG,ŁÓDZKIE,wieruszowski,Wieruszów,Wieruszów,Bolesławiecka 10,98-400,18.1770722222,51.2815166667,18.1770722222,51.2815166667
479,322001,JRG Włodawa,825724652,825721008 wew.: 20,JRG,LUBELSKIE,włodawski,Włodawa (gmina miejska),Włodawa,Tysiąclecia PP 8,22-200,23.5517416667,51.5443333333,23.5517416667,51.5443333333
480,1314001,JRG Włoszczowa,413942998,413942998 wew.: 1411,JRG,ŚWIĘTOKRZYSKIE,włoszczowski,Włoszczowa,Włoszczowa,Sienkiewicza 45,29-100,19.9598,50.8546305556,19.9598,50.8546305556
481,1232001,JRG Wodzisław Śląski,324539393,324539380,JRG,ŚLĄSKIE,wodzisławski,Wodzisław Śląski,Wodzisław Śląski,Pszowska 68,44-300,18.4497222222,50.0055555556,18.4497222222,50.0055555556
482,614002,JRG Wolbrom,478317381,478317312,JRG,MAŁOPOLSKIE,olkuski,Wolbrom,Wolbrom,Brzozowska - brak numeru budynku,32-340,19.7841666667,50.3705555556,19.7841666667,50.3705555556
483,1533001,JRG Wolsztyn,477719713,477719798,JRG,WIELKOPOLSKIE,wolsztyński,Wolsztyn,Wolsztyn,Wschowska 17,64-200,16.1164972222,52.1144222222,16.1164972222,52.1144222222
484,738001,JRG Wołomin,227613340,227876460,JRG,MAZOWIECKIE,wołomiński,Wołomin,Wołomin,Sasina 15,05-200,21.227475,52.3470972222,21.227475,52.3470972222
485,127001,JRG Wołów,713892702,713892702 wew.: 38,JRG,DOLNOŚLĄSKIE,wołowski,Wołów,Wołów,Wojska Polskiego 38,56-100,16.6419444444,51.3347222222,16.6419444444,51.3347222222
486,1534001,JRG Września, ,477719811,JRG,WIELKOPOLSKIE,wrzesiński,Września,Września,Białęzyce 112,62-300,17.5399638889,52.309375,17.5399638889,52.309375
487,414001,JRG Wschowa, ,655402494,JRG,LUBUSKIE,wschowski,Wschowa,Wschowa,Kazimierza Wielkiego 6,67-400,16.315675,51.799375,16.315675,51.799375
488,1016001,JRG Wysokie Mazowieckie,477118452,477118451,JRG,PODLASKIE,wysokomazowiecki,Wysokie Mazowieckie (gmina miejska),Wysokie Mazowieckie,Mickiewicza 6,18-200,22.5141888889,52.9136833333,22.5141888889,52.9136833333
489,739001,JRG Wyszków,297425422,297425421,JRG,MAZOWIECKIE,wyszkowski,Wyszków,Wyszków,Strażacka 6,07-200,21.4577555556,52.5917611111,21.4577555556,52.5917611111
490,1233001,JRG Zabrze,323760990,322712020,JRG,ŚLĄSKIE,Zabrze,Zabrze,Zabrze,Stalmacha 22,41-800,18.7884861111,50.3092138889,18.7884861111,50.3092138889
491,622001,JRG Zakopane,478317871,478317810,JRG,MAŁOPOLSKIE,tatrzański,Zakopane,Zakopane,Nowotarska 45,34-500,19.9548583333,49.3016416667,19.9548583333,49.3016416667
492,1017001,JRG Zambrów, ,477118501,JRG,PODLASKIE,zambrowski,Zambrów (gmina miejska),Zambrów,Sadowa 4,18-300,22.2425027778,52.9871722222,22.2425027778,52.9871722222
493,323001,JRG Zamość,846807400,846807450,JRG,LUBELSKIE,Zamość,Zamość,Zamość,Przemysłowa 19,22-400,23.2607694444,50.72445,23.2607694444,50.72445
494,1234001,JRG Zawiercie,326721615,326721615,JRG,ŚLĄSKIE,zawierciański,Zawiercie,Zawiercie,Leśna 12,42-400,19.4347222222,50.4875,19.4347222222,50.4875
495,128001,JRG Ząbkowice Śląskie,748157371,748157371,JRG,DOLNOŚLĄSKIE,ząbkowicki,Ząbkowice Śląskie,Ząbkowice Śląskie,Waryńskiego 15,57-200,16.815125,50.6023527778,16.815125,50.6023527778
496,522001,JRG Zduńska Wola,438234181,438234182,JRG,ŁÓDZKIE,zduńskowolski,Zduńska Wola (gmina miejska),Zduńska Wola,Długa 4,98-220,18.9569444444,51.6000194444,18.9569444444,51.6000194444
497,523003,JRG Zgierz,427145575, ,JRG,ŁÓDZKIE,zgierski,Zgierz (gmina miejska),Zgierz,Łąkowa 6/8,95-100,19.4111111111,51.8527777778,19.4111111111,51.8527777778
498,129002,JRG Zgorzelec,757751145 wew.: 15, ,JRG,DOLNOŚLĄSKIE,zgorzelecki,Zgorzelec (gmina miejska),Zgorzelec,Bohaterów II Armii Wojska Polskiego 5C,59-900,15.0131666667,51.14925,15.0131666667,51.14925
499,130001,JRG Złotoryja,768783397,768783143,JRG,DOLNOŚLĄSKIE,złotoryjski,Złotoryja (gmina miejska),Złotoryja,Legnicka 49,59-500,15.9446444444,51.1347361111,15.9446444444,51.1347361111
500,1535001,JRG Złotów, ,477719998,JRG,WIELKOPOLSKIE,złotowski,Złotów (gmina miejska),Złotów,Domańskiego 48a,77-400,17.0453194444,53.3685194444,17.0453194444,53.3685194444
501,740001,JRG Zwoleń, ,486763034 wew.: 23,JRG,MAZOWIECKIE,zwoleński,Zwoleń,Zwoleń,Lubelska 6,26-700,21.587,51.3564611111,21.587,51.3564611111
502,412002,JRG Żagań,683681323,683681320,JRG,LUBUSKIE,żagański,Żagań (gmina miejska),Żagań,Nowogródzka 3,68-100,15.3249277778,51.6211194444,15.3249277778,51.6211194444
503,413002,JRG Żary,683630703,683630700,JRG,LUBUSKIE,żarski,Żary (gmina miejska),Żary,Serbska 58,68-200,15.1031611111,51.6329055556,15.1031611111,51.6329055556
504,223001,JRG Żnin, ,477514401,JRG,KUJAWSKO-POMORSKIE,żniński,Żnin,Żnin,Dąbrowskiego 14,88-400,17.7226666667,52.8505666667,17.7226666667,52.8505666667
