FID,Nr ewid,Nazwa,Centrala,Stanowisko,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Adres,Kod pocztowy,Długość geo.,Szerokość geo.,x,y
346,508001,JRG Opoczno,446453200,446453210,JRG,ŁÓDZKIE,opoczyński,Opoczno,Opoczno,Rolna 1,26-300,20.2867861111,51.391625,20.2867861111,51.391625
347,315001,JRG Opole Lubelskie,818272008 wew.: 103,818272098,JRG,LUBELSKIE,opolski,Opole Lubelskie,Opole Lubelskie,Przemysłowa 25,24-300,21.9688888889,51.1472222222,21.9688888889,51.1472222222
348,1223002,JRG Orzegów, ,478517380,JRG,ŚLĄSKIE,Ruda Śląska,Ruda Śląska,Ruda Śląska,Kardynała Hlonda 39,41-712,18.8752777778,50.3227777778,18.8752777778,50.3227777778
349,717001,JRG Ostrołęka, ,297694410,JRG,MAZOWIECKIE,Ostrołęka,Ostrołęka,Ostrołęka,Celna 11,07-410,21.5921888889,53.0858777778,21.5921888889,53.0858777778
350,1417002,JRG Ostróda,477329811,477329801,JRG,WARMIŃSKO-MAZURSKIE,ostródzki,Ostróda (gmina miejska),Ostróda,Jana Stapińskiego 19 b,14-100,19.9658777778,53.70125,19.9658777778,53.70125
351,719001,JRG Ostrów Mazowiecka,297463200,297463200,JRG,MAZOWIECKIE,ostrowski,Ostrów Mazowiecka (gmina miejska),Ostrów Mazowiecka,11 Listopada 5,07-300,21.8947611111,52.8047305556,21.8947611111,52.8047305556
352,1522001,JRG Ostrów Wielkopolski, ,477718672 wew.: 8672,JRG,WIELKOPOLSKIE,ostrowski,Ostrów Wielkopolski (gmina miejska),Ostrów Wielkopolski,Stefana Batorego 21,63-400,17.7922111111,51.6599166667,17.7922111111,51.6599166667
353,1523001,JRG Ostrzeszów, ,477718715,JRG,WIELKOPOLSKIE,ostrzeszowski,Ostrzeszów,Ostrzeszów,Sportowa 9,63-500,17.9355194444,51.4238888889,17.9355194444,51.4238888889
354,615001,JRG Oświęcim,478317913,478317911,JRG,MAŁOPOLSKIE,oświęcimski,Oświęcim (gmina miejska),Oświęcim,Zatorska 2,32-600,19.2282555556,50.0279111111,19.2282555556,50.0279111111
355,720001,JRG Otwock,227181620,227181640,JRG,MAZOWIECKIE,otwocki,Otwock,Otwock,Mieszka I 13/15,05-402,21.2354527778,52.105775,21.2354527778,52.105775
356,523001,JRG Ozorków,427145577, ,JRG,ŁÓDZKIE,zgierski,Ozorków (gmina miejska),Ozorków,Kościuszki 3,95-035,19.2936361111,51.96545,19.2936361111,51.96545
357,509001,JRG Pabianice,422254300,422254321,JRG,ŁÓDZKIE,pabianicki,Pabianice (gmina miejska),Pabianice,Kilińskiego 4,95-200,19.3550638889,51.6632722222,19.3550638889,51.6632722222
358,809003,JRG Paczków,478616965,478616964,JRG,OPOLSKIE,nyski,Paczków,Paczków,Jagiellońska 6,48-370,17.0062083333,50.4605194444,17.0062083333,50.4605194444
359,510001,JRG Pajęczno,343111588,343114200,JRG,ŁÓDZKIE,pajęczański,Pajęczno,Pajęczno,Cmentarna 1,98-330,19.0033972222,51.1475083333,19.0033972222,51.1475083333
